use_id,useage,people,frequency,consumption,notes
0001,口服,成人,一日1次,0.125～0.5mg,儿童一日总量：早产儿按体重0.02～0.03mg/kg；1月以下新生儿按体重0.03～0.04mg/kg；1月～2岁，按体重0.05～0.06mg/kg；2～5岁，按体重0.03～0.04mg/kg；5～10岁，按体重0.02～0.035mg/kg；10岁或10岁以上，照成人常用量。总量分3次或每6～8小时1次给予，维持剂量为总量的1/5～1/3，分2次，每12小时1次或一日1次。
0002,静脉注射,成人,一日1次,0.25～0.5mg,用5%葡萄糖注射液稀释后缓慢注射，以后可用0.25mg，每隔4～6小时按需注射，但一日总量不超过1mg；儿童按下列剂量分3次或每6～8小时给予。早产新生儿按体重 0.015～0.025mg/kg；足月新生儿按体重0.02～0.03mg/kg；1月～2岁按体重0.04～0.05mg/kg；2～5岁按体重 0.025～0.035mg/kg；5～10岁按体重0.015～0.03mg/kg；10岁或10岁以上照成人常用量。
0003,静脉注射,成人,一日2次,0.125～0.25mg,成人常用量，首剂0.125～0.25mg，加入5%葡萄糖注射液20～40ml后缓慢注入，时间不少于5分钟，按需要可2小时后重复一次0.125～0.25mg，总剂量一日0.25～0.5mg。极量一次0.5mg，一日1mg。病情好转后，可改用洋地黄口服制剂与规格。儿童常用量一日按体重0.007～0.01mg/kg或按体表面积0.3mg/m2，首剂给予一半剂量，其余分成几个相等部分，间隔0.5～2小时给予。
0004,静脉注射,成人,一日1次,0.2～0.4mg,首剂0.4～0.6mg，用5％葡萄糖注射液20ml稀释后缓慢注射，需要时可2～4小时后再给0.2mg；维持剂量一次0.2～0.4mg，一日1次或每12小时1次。情况紧急时，0.4～0.6mg以25%葡萄糖液稀释后静脉注射(5分钟以上)，2～4小时后需要时再给0.2～0.4mg。起效后可改口服洋地黄制剂与规格。
0005,静脉注射,成人,,1.13mg/kg/日,负荷量25～75μg/kg，5～10分钟缓慢静脉注射，以后每分钟0.25～1.0μg/kg速度维持。最大剂量一日1.13mg/kg。
0006,口服,成人,一日3-4次,0.2～0.3g,餐后2小时或餐前1小时服药，并多次饮水。成人应先试服0.1～0.2g，观察有无过敏及特异质反应。成人常用量一次0.2～0.3g，一日3～4次。用于转复心房颤动或心房扑动：第一日，一次0.2g，2小时一次，连续5次；如无不良反应，第二日一次0.3g，第三日一次0.4g，约2小时一次，连续5次。一日总量不宜超过2.4 g。若连服3～4日无效或出现不良反应，应停药。恢复窦性心律后改为维持量，一次0.2～0.3g，一日2～3次。成人极量：一日3g(一般一日不宜超过2.4g)，应分次给予。
0007,口服,成人,每4小时一次,0.25～0.5g,口服：一次0.25～0.5g，每4小时一次。
0008,静脉注射,成人,,0.1g,静脉注射：一次0.1g，静脉注射时间5分钟，必要时每隔5～10分钟重复一次，总量按体重不得超过10～15mg/kg；或者10～15mg/kg静脉滴注1小时，然后以每小时按体重1.5～2mg/kg维持。小儿常用量尚未确定，可参考以下资料：按体重3～6mg/kg，静注5分钟，静滴维持量为每分钟按体重0.025～0.05mg／kg
0009,口服,成人,每6小时一次,0.1～0.15g,成人首剂0.2g，以后一次0.1～0.15g，每6小时一次。应根据需要及耐受程度调整用量。
0010,口服,成人,一日3-4次,0.1～0.2g,口服：一次0.1～0.2g，一日3～4次，餐后服用
0011,静脉注射,成人,,,首次50～100mg，缓慢静脉注射2～3分钟，必要时每5分钟重复，1～2次，但1小时之内的总量不得超过300mg。最大维持量为每分钟4mg
0012,静脉滴注,成人,,,一般以5%葡萄糖注射液配成1～4mg/ml药液滴注或用输液泵给药。在用负荷量后可继续以每分钟1～4mg速度静脉滴注。老年人、心力衰竭、心源性休克、肝血流量减少、肝或肾功能障碍时，以每分钟 0.5～1mg静脉滴注，每小时不超过100mg
0013,口服,成人,一日2-3次,400～800mg,首次200～300mg，必要时2小时后再服100～200mg。一般维持量一日约400～800mg，分2～3次服。成人极量为一日1200mg，分3次口服。
0014,静脉注射,成人,,,开始100mg，加入5％葡萄糖液20ml中，缓慢静脉注射3～5分钟。如无效，可在5～10分钟后再给50～100mg。然后以1.5～2mg/min的速度静脉滴注 3～4小时以后滴速减至0.75～1mg/min，并维持24～48小时。
0015,口服,成人,一日2次,50～100mg/日,成人初始剂量100mg，其后6～8小时50～100mg，当日不超过300mg，第二日和第三日内各100～150mg，分2～3次服，此后逐渐减至维持量，一日50～100mg，分2次服
0016,口服,成人,一日3-4次,100～200mg,一次100～200mg，一日3～4次。维持量，一日300～600mg，分2～4次服用。
0017,静脉注射,成人,,,一次70mg，加5％葡萄糖液稀释，于10分钟内缓慢注射，必要时10～20分钟重复一次，总量不超过210mg。静脉注射后改为静脉滴注，滴速0.5～1.0mg/分钟或口服维持
0018,口服,成人,一日3次,150～300mg,口服：成人常用量一次150～300mg，每8小时一次，一日最大剂量900mg。
0019,口服,成人,一日3次,0.6～1.2g/日,用于治疗室上性心律失常，一日0.4～0.6g，分2～3次服，1～2周后根据需要改为一日0.2～0.4g维持，部分患者可减至一日0.2g，每周5天或更小剂量维持。治疗严重室性心律失常，一日0.6～1.2g，分3次服用，1～2周后根据需要逐渐改为一日0.2～0.4g维持。建议维持量宜应用最小有效剂量，根据个体反应，可给以一日100-400mg。亦可隔日200mg或一日100mg。
0020,静脉滴注,成人,,1200mg/日,静脉滴注：负荷量按体重3～5mg/kg，一般为150mg，加入5％葡萄糖溶液250ml，在20分钟内滴入(滴入时间不得短于10分钟)，然后以1～1.5mg/min维持，6小时后减至0.5～1mg/min，一日总量1200mg。以后逐渐减量，静脉滴注胺碘酮持续不应超过3～4天。
0021,静脉注射,成人,,,按体重一次3～5mg/kg，以5%葡萄糖注射液稀释后缓慢静脉注射，在10～20分钟内注完。必要时4～6小时后重复。也可在静脉注射出现疗效后，以肌内注射维持。
0022,口服,成人,一日3-4次,120-480mg/日, (1)心绞痛，一次80～120mg，一日3次。(2)心律失常：慢性心房纤颤服用洋地黄者，一日240～320mg，分3～4次；预防阵发性室上性心动过速，未服用洋地黄者，一日240～480mg，分3～4次；(3)原发性高血压，一次40mg～80mg，一日3次。最大使用剂量一日480mg。缓释制剂与规格：原发性高血压，初始剂量一次120mg～180mg，一日1次。未达疗效时，在上一剂量24小时后增加剂量，可按下列方式进行：①一日清晨240mg；②一日清晨和傍晚各1次180mg；③一日清晨1次240mg，傍晚1次120mg；④每12小时1次240mg。缓释片剂不可掰开或嚼服。儿童：普通制剂与规格：心律失常，年龄1～5岁，按体重一日4～8mg/kg，分3次，或每8小时40～80mg；大于5岁，每6～8小时80mg。
0023,静脉注射,成人,,,必须在持续心电监测和血压监测下，缓慢静脉注射至少2分钟。无法确定重复静脉给药的最佳给药间隔，必须个体化治疗。初始剂量5～10mg(或0.075～0.15mg/kg)，稀释后缓慢静脉注射至少2分钟。如初反应不满意，首剂15～30分钟后再给1次5～10mg或0.15mg/kg。
0024,静脉注射,成人,,,成人，起始剂量为6mg，若1～2分钟内未见症状改善，第二次或第三次给予12mg直至症状改善。儿童，起始剂量按体重0.05～0.1mg/kg，依症狀是否改善每隔1～2 分钟以0.05～0.1 mg/kg之剂量缓慢增加直至症狀改善但不超过最大剂量0.25～0.3 mg/kg。诊断：成人按体重每分钟140μg/kg ，静脉滴注6分钟，总剂量0.8mg/kg。
0025,静脉滴注,成人,,3500μg/kg/日,成人开始按体重每分钟0.5μg/kg。根据治疗反应以每分钟0.5μg/kg递增，逐渐调整剂量，常用剂量为每分钟3μg/kg，极量为每分钟10μg/kg，总量为3500μg/kg。儿童常用量按体重每分钟1.4μg/kg，按效应逐渐调整用量。
0026,静脉注射,成人,每4～24小时1次,150mg,成人一次150mg，或按体重一次1～3mg/kg，严重高血压隔5～15分钟后重复注射1次，已达疗效出现，此后按需要每4～24小时1次，直到随后所用口服抗高血压药发生作用，此过程一般需4～5天。极量一日1.2g。儿童按体重一次1～3mg/kg，用法同成人。
0027,快速静脉注射,成人,,200～400mg,成人一次200～400mg，在15～20秒内注完。抢救高血压危象时，可在0.5～3小时内再注射1次，1日总量不超过1200mg。儿童按体重一次5mg/kg。病人卧位快速静脉注射。症状缓解后再改以口服降压药维持。
0028,口服,成人,一日4次,10mg,成人一次10mg，一日4次，餐后服用。2～4天后，加至一次25mg，一日4次，共1周；第2周后增至一次50mg，一日4次。最大剂量不超过一日300mg。儿童按体重一次0.75mg/kg，一日2～4次，1～4周内渐增至最大量，一日7.5mg/kg或一日300mg。
0029,口服,成人,一日2次,10～40mg,成人，初始一次2.5mg，一日2次，以后每3日将剂量加倍，逐渐增至出现疗效，维持量一日10～40mg，单次或分次服用。最多一日不能超过100mg。儿童，初始按体重一次0.2mg/kg，一日1次。以后每3日调整剂量，一次一日按体重增加0.1mg/kg，12岁以下一日最多50mg。维持量一日0.25～1mg/kg，单次或分次服用。
0030,口服,成人,一日3次,5～20mg,用于高血压、胃肠痉挛，一次10～20mg，一日3次。用于神经疾患，一次5～10mg，一日3次。
0031,口服,成人,一日2次,30～60mg,缓释制剂与规格， 30～60mg，一日2次，维持剂量一日30～180mg。
0032,静脉注射,成人,,20～50mg,静脉注射，一次20～50mg，监测血压变化，降压效果应在5分钟内即可显示。若效果不够满意，可重复用药。静脉滴注的最大浓度为4mg/ml，推荐初始输入速度为每分钟2mg，维持剂量速度为平均每小时9mg。静脉滴注或用输液泵输入应当在静脉注射后使用，以维持血压稳定。血压下降的程度由前15分钟内输入的药物剂量决定，然后用低剂量维持。
0033,口服,成人,一日2-3次,0.5-1mg,成人首剂0.5mg，睡前顿服，此后一次0.5～1mg，一日2～3次，逐渐按疗效调整为一日6～15mg，分2～3次服。7岁以下儿童，一次0.25mg，一日2～3次；7～12岁儿童，一次0.5mg，一日2～3次，按疗效调整剂量。
0034,口服,成人,一日2次,20～40mg,口服：成人，开始时一次10mg，一日2次，隔日增加10mg，直至获得预期临床疗效或出现轻微α受体阻断的不良反应。维持剂量一次20～40mg，一日2次。儿童，开始按体重0.2mg/kg，一日2次；或按体表面积6～10mg/m2，一日1次。以后每隔4日增量1次，直至取得疗效。维持量一日按体重0.4～1.4mg/kg或按体表面积12～36mg/m2，分3～4次口服。
0035,静脉注射,成人,,2mg/kg/日,按体重一日0.5～1mg/kg；静脉滴注，用于心力衰竭和休克，0.5～1mg/kg，加入5%葡萄糖液200～500ml中稀释后静脉滴注，2小时滴完，一日总量不宜超过2mg/kg。嗜铬细胞瘤术前应用3天，必要时麻醉诱导时给药一次。
0036,静脉注射,成人,,1mg,(1)嗜铬细胞瘤手术：术时如血压升高，①成人，静脉注射2～5mg或静脉滴注每分钟0.5～1mg，以防肿瘤手术时出现高血压危象；②儿童，术中血压升高时可静脉注射1mg，也可按体重一次0.1 mg/kg，必要时可重复或持续静脉滴注。(2)心力衰竭时减轻心脏负荷：静脉滴注每分钟0.17～0.4mg。
0037,静脉注射,新生儿,,,用于新生儿肺动脉高压，初始剂量按体重一次1～2mg/kg，10分钟内静脉注射。可通过头皮静脉或回流至上腔静脉的其他静脉注射，使本品最大量到达肺动脉。维持剂量每小时0.2mg/kg，静脉滴注。动脉血气稳定后逐渐减量，必要时在维持输注中可重复初始剂量。负荷量为1mg/kg。
0038,口服,成人,一日2次,0.1mg,(1)用于高血压：初始剂量一次0.1mg，一日2次；隔2～4天后可按需一日递增0.1～0.2mg。常用维持剂量为一日0.3～0.9mg，分2～4次口服。(2)用于严重高血压紧急治疗：首剂0.2mg，继以每小时0.1
0039,静脉注射,成人,,0.15mg-0.3 mg,用于降压，常用剂量0.15mg～0.3 mg，加入葡萄糖注射液20～50ml缓慢注射，不宜超过一日0.75mg。
0040,口服,成人,一日2-3次,250mg,成人一次250mg，一日2～3次。每2天调整剂量一次，至达预期疗效。一般晚上加量以减少药物的过度镇静作用。若与噻嗪类利尿药合用时，初始剂量一日0.5g，维持剂量一日0.5～2g，分2～4次服，最大剂量一日小于3g。用药2～3个月后可产生耐药性，给利尿药可恢复疗效。儿童按体重一日10mg/kg，分2～4次服。以后每2天调整剂量一次，至达到疗效。最大剂量一日65mg/kg或3g。
0041,口服,成人,一日1次,0.1-0.25mg,初始剂量一次0.1～0.25mg，一日1次，经1～2周调整剂量，最大剂量一次0.5mg。
0042,静脉注射,成人,每4-6小时1次,0.4-0.6mg,高血压危象时首次0.5～1mg，以后按需要每4～6小时肌内注射0.4～0.6mg
0043,口服,成人,一日3次,4-8mg,一次4～8mg，一日3次。血压稳定后即改为每次4mg。
0044,口服,成人,一日3-4次,0.25-0.5mg,置于口颊犬齿龈上，一次1mg，一日3～4次。效果不佳时，可一次2.5mg，一日3～4次。勿置于舌下、咀嚼或吞服，避免睡前使用
0045,喷雾,成人,,0.5～1mg ,舌下喷雾，一次0.5～1mg (1～2喷)，效果不佳可在10分钟内重复给药。
0046,静脉滴注,成人,,,初始剂量5μg/分钟。降低血压或治疗心力衰竭时，可每3～5分钟增加每分钟5μg，在每分钟20μg无效时可以每分钟10μg递增，以后可每分钟20μg。
0047,贴片,成人,一日1次,2.5mg,贴于左前胸皮肤，一次2.5mg(1片)，一日1次。
0048,静脉注射,成人,,1～1.6mg/日,成人用5%葡萄糖注射液20ml稀释后缓慢静脉注射，2周内未用过洋地黄毒苷，或在1周内未用过地高辛的患者，初始剂量0.4～0.6mg，以后每2～4小时可再给0.2～0.4mg，总量一日1～1.6mg。儿童按下列剂量分2～3次间隔3～4小时给予。早产儿和足月新生儿或肾功能减退、心肌炎患儿，肌内注射或静脉注射，一日0.022mg/kg；2周～3岁，一日0.025mg/kg。静脉注射获满意疗效后，可改用地高辛常用维持量。
0049,吸入,成人,,0.2ml,安瓿包在一层手帕或纱布内折断，经鼻腔吸入本品，一次15秒钟。心绞痛发作，一次0.2ml。
0050,口服,成人,一日2-3次,5-40mg,片剂， ①预防心绞痛：一次5～10mg，一日2～3次，一日总量10～30mg。②缓解症状：舌下含服，一次5mg。治疗心力衰竭：一次5～20mg，6～8小时1次，缓释片、缓释胶囊，一次20～40mg，一日2次，需个体化调整剂量。本品不可掰开或嚼服
0051,喷雾,成人,,2.5mg,气雾剂：舌下喷雾，一次2.5mg(4喷)。喷药时避免吸气，10秒内不得吞咽。喷雾剂：舌下喷雾，根据发作程度一次1.25～3.75mg(1～3喷)。
0052,注射,成人,,,常用浓度为50μg/ml或100μg/ml，需要限制液体摄入时浓度可为200μg/ml。
0053,注射液,成人,,,静脉注射或静脉滴注，初始剂量可从1～2mg/小时开始，根据个体需要进行调整，最大剂量不超过8～10mg/小时。心力衰竭时，有时需要大剂量：达10mg/小时，个别可至50mg/小时。
0054,外用,成人,,,乳膏剂涂于皮肤，小剂量开始，每格相当硝酸异山梨酯0.2g。将乳膏按刻度挤出所需长度，均匀涂布于所给印有刻度的纸上(即5cm×5cm 面积)，贴在左胸前区，一日1次，必要时8小时1次，可睡前贴用。(乳膏剂)
0055,口服,成人,一日2-3次,10-20mg,片剂、分散片剂、胶囊剂、胶丸剂一次10～20mg，一日2～3次，严重病例可一次40mg，一日2～3次。缓释片剂、缓释胶囊剂于晨服，初始剂量一次50mg或60mg，一日1次，需个体化给药。
0056,静脉注射,成人,,1-2mg/小时,初始剂量每小时1～2 mg，最大剂量每小时8～10 mg，需个体化调整剂量。
0057,口服,成人,一日3次,20mg,三餐时服用
0058,静脉注射,成人,一日2次,20mg,静脉滴注，一次40mg，溶于250～500ml 5%葡萄糖注射液中，一日2次。冠心病以15日为一疗程，可连续应用2～3疗程。
0059,口服,成人,一日3次,20-40mg,一次20～40mg，一日3 次。用量可根据年龄酌情增减
0060,静脉注射,成人,一日1-2次,10-20mg,肌内注射或静脉注射，一次10～20mg，一日1～2次。
0061,口服,成人,,10-40mg,高胆固醇血症：初始剂量一次10～20mg，晚间顿服。心血管事件高危人群推荐初始剂量一次20～40mg，晚间顿服。调整剂量应间隔4周以上。纯合子家族性高胆固醇血症：推荐一次40mg，晚间顿服；或一日80mg，分早晨20mg、午间20mg和晚间40mg服用。杂合子家族性高胆固醇血症的儿童(10～17岁)：推荐初始剂量一日10mg，晚间顿服。最大剂量为40mg，应按个体化调整剂量。
0062,口服,成人,一日1次,10mg,原发性高胆固醇血症和混合型高脂血症：初始剂量一日10mg；杂合子型家族性高胆固醇血症：初始剂量为一次10mg，一日1次。逐步加量(间隔4周)至40mg，如仍不满意，可将剂量增加至一次80mg，一日1次或加用胆酸螯合剂；纯合子型家族性高胆固醇血症：一次10～80mg，一日1次；预防性用于存在冠心病危险因素的患者，一日10mg，一日1次。
0063,口服,成人,,10-20mg,初始剂量一次10mg～20mg，睡前顿服。最大剂量一日40mg。
0064,口服,成人,一日1-2次,20-40mg,一次20～40mg，晚餐时或睡前顿服。剂量可按需要调整，反应不佳者可一次40mg，一日2次。 
0065,口服,成人,一日1次,5mg,起始剂量为一次5mg，一日1次。对于需要更强效地降低LDL-C的患者初始剂量可考虑一次10mg，一日1次。如有必要，可在治疗4周后调整剂量。一日最大剂量为20mg。
0066,口服,成人,一日1次,10-20mg,成人常用量一次10～20mg，一日1次。晚餐时服用。剂量可按需要调整，但最大剂量不超过一日80mg。
0067,口服,成人,一日3次,100mg,片剂、咀嚼片剂、胶囊剂，一次100mg，一日3次，维持量一次100mg，一日1～2次。用餐时服。
0068,口服,成人,一日1次,160-200mg,微粒化胶囊剂：一次160mg或200mg，一日1次。本品不可嚼服
0069,口服,成人,一日1次,250mg,缓释胶囊剂：一次250mg，一日1次。本品不可掰开或嚼服
0070,口服,成人,一日3次,200-400mg,片剂，一次200～400mg，一日3次，餐后或与饭同服。维持量一次400mg，一日2次。缓释片剂：一次400mg，一日1次。本品不可掰开或嚼服。
0071,口服,成人,一日2次,0.3-0.6g,一次0.3～0.6g，一日2次，早餐及晚餐前30分钟服用。
0072,口服,成人,一日3次,1～2g,高脂血症，普通片：初始剂量，一次0.1g，一日3次，4～7日后可增至一次1～2g，一日3次。缓释片：睡前服用，第l～4周，一次0.5g，一日1次；第5～8周，一次1000mg，一日1次。8周后，根据疗效和耐受性调整剂量，维持剂量，一日1～2g，最大剂量一日2g。
0073,注射,成人,一日5次,50-100mg,成人，肌内注射，一次50～100mg，一日5次；静脉缓慢注射，一次25～100mg，一日2次或多次。儿童，静脉缓慢注射，一次25～100mg，一日2次。
0074,口服,成人,一日2-3次,250mg,一次250mg，一日2～3次，餐后服用。根据TG及TC水平调整剂量，一日总剂量不超过1200mg。Ⅳ 型高脂血症：一次0.25g，一日2次；Ⅱb、Ⅲ及Ⅴ型高脂血症：一次0.25g，一日3次。根据血中甘油三酯及胆固醇水平调整剂量，一日总量不超过1.2g，餐后服用。
0075,口服,成人,一日3次,0.1-0.2g,一次0.1～0.2g，一日3次。
0076,口服,成人,一日2次,0.5g,一次0.5g，一日2次，早晚餐时服用
0077,口服,成人,一日1次,10mg,成人剂量，一次10mg，一日1次。可单独服用或与他汀类联合应用，本品可在一日之内任何时间服用，可空腹或与食物同时服用
